order_id,customer_id,order_date,order_status,channel

ORD-5001,CUST-A-0001,2025-11-10,COMPLETED,Web
ORD-5002,CUST-A-0002,2025-11-10,CANCELLED,Mobile
ORD-5003,CUST-A-0003,2025-11-11,COMPLETED,Web
ORD-5004,CUST-A-9999,2025-11-11,COMPLETED,Web
ORD-5005,CUST-A-0004,,PENDING,Web
ORD-5006,CUST-A-0005,2025-11-12,COMPLETED,Mobile
ORD-5007,CUST-A-0006,2025-11-12,COMPLETED,Web
ORD-5008,CUST-A-0007,,COMPLETED,Web
ORD-5009,CUST-A-0008,2025-11-13,COMPLETED,Web
ORD-5010,CUST-A-0009,2025-11-14,COMPLETED,Web
ORD-5011,CUST-A-0010,2025-11-14,COMPLETED,Web
ORD-5012,CUST-A-0011,2025-11-14,COMPLETED,Web
ORD-5013,CUST-A-0012,2025-11-15,COMPLETED,Web
ORD-5014,CUST-A-0013,2025-11-15,COMPLETED,Web
ORD-5015,CUST-A-0014,2025-11-15,COMPLETED,Web
ORD-5016,CUST-A-0015,2025-11-16,COMPLETED,Web
ORD-5017,CUST-A-0016,2025-11-16,COMPLETED,Web
ORD-5018,CUST-A-0001,2025-11-16,COMPLETED,Web
ORD-5019,CUST-A-0017,,COMPLETED,Web
ORD-5020,CUST-A-0018,2025-11-17,COMPLETED,Web

ORD-5001,CUST-A-0001,2025-11-10,COMPLETED,Web